userAgent,anomaly_score,log_total_calls,out_degree,entropy,max_call
aws-cli/1.15.66 Python/3.7.2 Darwin/18.2.0 botocore/1.10.65,1.4030893,3.0910425,16.0,2.6895359,3.0
Boto3/1.9.142 Python/3.7.3 Linux/5.0.8-arch1-1-ARCH Botocore/1.12.142,1.4008232,7.6912003,57.0,3.731303,128.0
aws-cli/1.18.13 Python/3.7.4 Linux/4.14.165-131.185.amzn2.x86_64 botocore/1.15.13,1.3917135,3.295837,17.0,2.7047813,4.0
Boto3/1.10.8 Python/3.7.5rc1 Linux/5.2.0-kali3-amd64 Botocore/1.13.8,1.3873872,7.535297,222.0,5.3619905,14.0
aws-cli/1.16.148 Python/3.6.8 Linux/4.19.0-kali3-amd64 botocore/1.12.138,1.3805234,7.26473,49.0,3.26986,194.0
aws-cli/1.16.90 Python/3.7.3 Darwin/18.5.0 botocore/1.12.80,1.3792382,1.0986123,1.0,0.0,2.0
aws-cli/2.0.8 Python/3.7.3 Linux/4.16.18-188_fbk19_5237_gaa5ac55ed32e botocore/2.0.0dev12,1.3757017,4.962845,27.0,2.7440329,27.0
aws-cli/2.0.49 Python/3.7.4 Darwin/19.6.0 exe/x86_64 command/sts.assume-role,1.3742149,0.6931472,1.0,0.0,1.0
aws-cli/1.16.168 Python/3.6.7 Linux/4.15.0-50-generic botocore/1.12.158,1.3739693,7.689371,56.0,3.2642932,420.0
aws-cli/1.16.7 Python/2.7.14+ Linux/4.15.0-kali2-amd64 botocore/1.11.7,1.358995,2.7080503,10.0,2.2055984,3.0
aws-cli/1.17.0 Python/2.7.17 Linux/5.0.0-36-generic botocore/1.14.0,1.3498778,7.7790484,52.0,3.2029095,448.0
aws-cli/1.16.19 Python/3.7.4 Darwin/18.7.0 botocore/1.12.9,1.3477374,3.9512436,16.0,2.5145345,8.0
aws-cli/1.11.44 Python/3.5.3 Linux/4.10.0-11-generic botocore/1.5.7,1.3357162,4.4308167,23.0,2.5751925,18.0
Boto3/1.5.32 Python/3.6.4 Darwin/17.7.0 Botocore/1.8.50,1.3343264,3.912023,8.0,1.7143712,15.0
[aws-cli/1.17.0 Python/2.7.17 Linux/5.0.0-36-generic botocore/1.14.0],1.3273771,4.919981,7.0,1.7836337,40.0
Boto3/1.9.219 Python/3.7.4 Linux/4.19.0-kali5-amd64 Botocore/1.12.219,1.324287,0.6931472,1.0,0.0,1.0
aws-cli/1.16.185 Python/3.6.7 Linux/4.15.0-50-generic botocore/1.12.175,1.3091156,7.679251,55.0,3.0509253,608.0
aws-cli/1.11.78 Python/2.7.10 Darwin/16.5.0 botocore/1.5.41,1.3073385,1.3862944,1.0,0.0,3.0
aws-cli/1.16.24 Python/3.7.0 Linux/4.18.11-arch1-1-ARCH botocore/1.12.14,1.3044894,1.3862944,2.0,0.6365142,2.0
aws-cli/1.18.44 Python/3.7.7 Darwin/18.7.0 botocore/1.15.44,1.302575,3.6109178,17.0,2.5772107,8.0
aws-cli/1.16.80 Python/3.7.2 Darwin/18.2.0 botocore/1.12.70,1.2899282,2.944439,10.0,2.2161021,3.0
aws-cli/2.0.54 Python/3.8.5 Darwin/18.7.0 source/x86_64 command/iam.get-policy-version,1.2879432,0.6931472,1.0,0.0,1.0
aws-cli/1.11.57 Python/3.5.2 Linux/4.8.15-300.fc25.x86_64 botocore/1.5.20,1.2679265,3.0445225,13.0,2.4412146,4.0
aws-cli/1.16.122 Python/3.6.0 Windows/10 botocore/1.12.112,1.2675296,1.0986123,1.0,0.0,2.0
aws-cli/2.0.50 Python/3.7.7 Windows/10 exe/AMD64 command/iam.get-policy-version,1.2568189,0.6931472,1.0,0.0,1.0
aws-cli/1.10.1 Python/2.7.12 Linux/4.4.0-57-generic botocore/1.4.81,1.2503828,3.218876,19.0,2.8314803,4.0
aws-internal/3,1.2490053,6.0402546,6.0,1.1753074,241.0
aws-cli/1.16.302 Python/3.7.5 Linux/5.3.0-kali2-amd64 botocore/1.13.38,1.2401631,2.0794415,3.0,0.7963117,5.0
aws-cli/2.0.46 Python/3.8.5 Darwin/19.6.0 source/x86_64 command/iam.get-policy-version,1.2345831,0.6931472,1.0,0.0,1.0
Boto3/1.7.71 Python/3.6.5 Linux/4.15.0-1015-gcp Botocore/1.10.71,1.2317472,6.025866,56.0,3.7385457,22.0
aws-cli/2.0.44 Python/3.7.3 Linux/5.4.0-26-generic exe/x86_64.linuxmint.20 command/iam.get-policy-version,1.2278112,0.6931472,1.0,0.0,1.0
aws-cli/1.11.95 Python/2.7.10 Darwin/15.6.0 botocore/1.5.58,1.2276402,4.6728287,17.0,2.0226076,41.0
aws-cli/2.0.42 Python/3.7.3 Linux/5.2.0-kali2-amd64 exe/x86_64.kali.2019 command/iam.get-policy-version,1.2252781,0.6931472,1.0,0.0,1.0
aws-cli/1.15.51 Python/2.7.15rc1 Linux/4.15.0-kali2-amd64 botocore/1.10.50,1.2239408,7.0621915,45.0,3.2194858,150.0
Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109,1.2239316,7.7288556,1.0,0.0,2272.0
aws-cli/1.11.81 Python/2.7.9 Windows/7 botocore/1.5.44,1.2205294,3.8501475,21.0,2.849289,5.0
aws-cli/2.0.44 Python/3.7.7 Windows/10 exe/AMD64 command/iam.get-policy-version,1.2171793,0.6931472,1.0,0.0,1.0
aws-cli/1.14.44 Python/3.6.8 Linux/4.15.0-58-generic botocore/1.8.48,1.210894,0.6931472,1.0,0.0,1.0
AWSToolkitPackage.VS2015/67.6.49.120 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_6.1.7601_Service_Pack_1 ClientSync AWSExplorerDescribeCall,1.2053841,3.0910425,7.0,1.9459103,3.0
aws-cli/1.11.56 Python/2.7.5 Linux/4.9.13-201.fc25.x86_64 botocore/1.5.19,1.2051774,3.8066626,19.0,2.221561,20.0
